ID,sec-type,dbRDA1,MDS1,MDS2
10005311cSd,sec,0.053532549515275626,-0.36455600516071235,0.18403100415652499
10007511cSd,sec,0.18451307713933188,0.0484147718152382,0.13374795027754965
10007611cSd,sec,-0.19051691534335874,-0.08509275345119995,0.2582917801762713
10007811cSd,sec,0.1968174956276607,0.17700853257092172,0.10398524019386883
10010611cSd,sec,0.1827788434649842,-0.37749147712730996,-0.39090083690243527
10010811cSd,sec,0.17753415990506954,0.13620293145468776,0.1323717839414849
10011411cSd,sec,-0.02821135646253055,0.0599971711397995,-0.18471562651960582
10012311cSd,sec,-0.09149915697909293,-0.4757814057758134,0.24768844290545625
10012811cSd,sec,-0.027053627005413937,-0.5055590398990251,0.35166492293714274
10013611cSd,sec,0.03407336877373222,0.06128739154730776,0.04087290631668929
10014411cSd,sec,-0.016362958153890612,-0.5344338727700968,0.2692271683024483
10014811cSd,sec,0.10467461858097805,0.12801078694135812,0.20643937321015712
10014911cSd,sec,0.05148907019780125,0.1422615529575544,0.2042523437673191
10015111cSd,sec,0.11210626361602688,-0.40669912999881885,-0.0037760227846051057
10015311cSd,sec,-0.17367709866838424,-0.4149495039614171,-0.15175736475863918
10015911cSd,sec,-0.20795574071433082,-0.4246224531803933,0.24700087971949194
10016011cSd,sec,0.18196153652011118,0.05253003333257687,0.1093817170809298
10016611cSd,sec,0.28031085826512603,-0.37803739442073725,0.17317720448157542
10017311cSd,sec,0.07159659322369634,0.25785914607367005,0.13331569527701131
10017511cSd,sec,0.1538359218855112,0.19846709369713283,0.1832656334045675
10018811cSd,sec,0.07054556256277524,-0.35615838321735965,-0.4430437062444992
10018911cSd,sec,0.02846673374525993,0.24316597927704375,-0.016106274886958125
10019111cSd,sec,-0.019702512598417557,-0.3600207195765638,-0.21374698794581426
10019611cSd,sec,0.0926181859042346,-0.34538791002785607,-0.18308019137053477
10019711cSd,sec,-0.021436018182108867,0.1755771223655318,0.20810226724341913
10019811cSd,sec,0.1590695917076277,0.22198531858011497,0.13391640083375886
10020011cSd,sec,0.18837705962145837,0.12534384437512078,0.13886850503951692
10020611cSd,sec,0.08822796968433531,-0.11982323557177914,-0.12317552192427164
10020711cSd,sec,0.055525268573605714,0.10782766273479821,-0.1334760193483042
10021011cSd,sec,0.05023672042665662,0.10573457543513674,-0.18591948543294176
10021511cSd,sec,-0.18372765250433237,0.09046291169263589,-0.19369371520164977
10023111cSd,sec,-0.028887790771398955,0.029147303264484663,-0.2637058842174218
10023211cSd,sec,0.02710921148769917,0.0866859719409388,-0.2668707861256206
10023411cSd,sec,-0.2815578230924888,-0.5024081672348427,0.30479287256828014
10023811cSd,sec,0.02197855499928633,0.2242599250159836,0.19203940154028298
10024111cSd,sec,0.08372064782285281,0.07096182530220993,-0.28648918393237793
10024511cSd,sec,-0.010490690251342062,0.20630147697012502,-0.20091875497635694
10024811cSd,sec,-0.07268804628532492,-0.35393373285204377,-0.23099737207739715
10025111cSd,sec,0.10978808427728919,0.07946699360822469,0.12392706589971711
10025211cSd,sec,0.14556536447018584,0.23968535500233246,0.09318226737572961
10026111cSd,sec,-0.2002548922319863,-0.4436612163097726,0.2480105317090017
10026411cSd,sec,-0.00762788430311691,0.21221228766995023,0.17671901460041237
10026511cSd,sec,-0.08466806993020493,0.20287866446689054,-0.05696447860316413
10026611cSd,sec,0.1237283696197879,0.29969025927287896,0.09718914416448614
10026811cSd,sec,0.09806099715803457,0.21934478384692527,-0.09960484489729786
10027111cSd,sec,-0.03915399339412409,0.24568698002023084,-0.00014950869491884287
10027611cSd,sec,0.10728444236636578,0.08125457687277288,0.09089856822162665
10028211cSd,sec,-0.18981982303078745,0.02040272650566297,-0.2935661315448513
10028511cSd,sec,-0.010876249133870837,0.21376904661482796,-0.05165565256473761
10029911cSd,sec,0.10698386170873043,0.33173332461745547,0.10906184173733346
10030211cSd,sec,-0.009478956391649007,0.18595127316619425,-0.22079579543047317
11001511cSd,sec,-0.21123035347394162,-0.3929890500349284,-0.12077453173337536
11001611cSd,sec,0.041474434251769936,0.06726648563847402,-0.07237274687917819
11002311cSd,sec,-0.008766112216676395,0.20606562274010162,-0.1526505635765125
